# MTA NYC subway stations. Pulled from data.ny.gov dataset 39hk-dx4f
# ("MTA Subway Stations") via scripts/refresh-mta-stations.sh; rerun
# that script to refresh after service changes.
#
# Schema:
#   stop_id     — GTFS parent stop id (e.g. "B12", "R01"). Platforms are
#                 <id>N (north / often uptown / Manhattan-bound) and <id>S
#                 (south / often downtown / Coney-bound).
#   stop_name   — display name as MTA prints it.
#   borough     — Bk / Bx / M / Q / SI.
#   lines       — semicolon-joined daytime routes serving this station.
#   lat, lon    — WGS84 from GTFS, used for nearest-stop discovery.
#   north_label,
#   south_label — Direction labels. Hand-curated overrides preserved by
#                 the refresh script; missing rows pull MTA defaults.
#                 Edit by hand to make voice aliasing snappier.
#
# Two consumers:
#   - jasper/subway.py  → voice-direction labelling for arrivals tool
#   - jasper/transit/providers/nyc_subway.py
#                       → nearest-stop discovery from user's coords
stop_id,stop_name,borough,lines,lat,lon,north_label,south_label
D08,174-175 Sts,Bx,B;D,40.8459,-73.910136,Northbound,Manhattan
D09,170 St,Bx,B;D,40.839306,-73.9134,Northbound,Manhattan
D10,167 St,Bx,B;D,40.833771,-73.91844,Northbound,Manhattan
D11,161 St-Yankee Stadium,Bx,B;D,40.827905,-73.925651,Northbound,Manhattan
D12,155 St,M,B;D,40.830135,-73.938209,The Bronx,Downtown
D13,145 St,M,B;D,40.824783,-73.944216,Uptown,Downtown
D14,7 Av,M,E;B;D,40.762862,-73.981637,Outbound,Downtown
D15,47-50 Sts-Rockefeller Ctr,M,B;D;F;M,40.758663,-73.981329,Uptown,Downtown
D16,42 St-Bryant Pk,M,B;D;F;M,40.754222,-73.984569,Uptown,Downtown
D17,34 St-Herald Sq,M,B;D;F;M,40.749719,-73.987823,Uptown,Downtown
D18,23 St,M,F;M,40.742878,-73.992821,Uptown,Downtown
D19,14 St,M,F;M,40.738228,-73.996209,Uptown,Downtown
D20,W 4 St-Wash Sq,M,B;D;F;M,40.732338,-74.000495,Uptown,Downtown
D21,Broadway-Lafayette St,M,B;D;F;M,40.725297,-73.996204,Uptown,Downtown
D22,Grand St,M,B;D,40.718267,-73.993753,Uptown,Brooklyn
D24,Atlantic Av-Barclays Ctr,Bk,B;Q,40.68446,-73.97689,Manhattan,Southbound
D25,7 Av,Bk,B;Q,40.67705,-73.972367,Manhattan,Southbound
D26,Prospect Park,Bk,B;Q;S,40.661614,-73.962246,Northbound,Southbound
D27,Parkside Av,Bk,Q,40.655292,-73.961495,Manhattan,Southbound
D28,Church Av,Bk,B;Q,40.650527,-73.962982,Manhattan,Southbound
D29,Beverley Rd,Bk,Q,40.644031,-73.964492,Manhattan,Southbound
D30,Cortelyou Rd,Bk,Q,40.640927,-73.963891,Manhattan,Southbound
D31,Newkirk Plaza,Bk,B;Q,40.635082,-73.962793,Manhattan,Southbound
D32,Avenue H,Bk,Q,40.62927,-73.961639,Manhattan,Southbound
D33,Avenue J,Bk,Q,40.625039,-73.960803,Manhattan,Southbound
D34,Avenue M,Bk,Q,40.617618,-73.959399,Manhattan,Southbound
D35,Kings Hwy,Bk,B;Q,40.60867,-73.957734,Manhattan,Southbound
D37,Avenue U,Bk,Q,40.5993,-73.955929,Manhattan,Southbound
D38,Neck Rd,Bk,Q,40.595246,-73.955161,Manhattan,Southbound
D39,Sheepshead Bay,Bk,B;Q,40.586896,-73.954155,Manhattan,Southbound
D40,Brighton Beach,Bk,B;Q,40.577621,-73.961376,Manhattan,Southbound
D41,Ocean Pkwy,Bk,Q,40.576312,-73.968501,Manhattan,Coney Island
D42,W 8 St-NY Aquarium,Bk,F;Q,40.576127,-73.975939,Manhattan,Coney Island
D43,Coney Island-Stillwell Av,Bk,D;F;N;Q,40.577422,-73.981233,Manhattan,Last Stop
E01,World Trade Center,M,E,40.712582,-74.009781,Uptown,Last Stop
F01,Jamaica-179 St,Q,F,40.712646,-73.783817,Last Stop,Manhattan
F02,169 St,Q,F,40.71047,-73.793604,Jamaica,Manhattan
F03,Parsons Blvd,Q,F,40.707564,-73.803326,Jamaica,Manhattan
F04,Sutphin Blvd,Q,F,40.70546,-73.810708,Jamaica,Manhattan
F05,Briarwood,Q,E;F,40.709179,-73.820574,Jamaica,Manhattan
F06,Kew Gardens-Union Tpke,Q,E;F,40.714441,-73.831008,Jamaica,Manhattan
F07,75 Av,Q,E;F,40.718331,-73.837324,Jamaica,Manhattan
F09,Court Sq-23 St,Q,E;F,40.747846,-73.946,Outbound,Manhattan
F11,Lexington Av/53 St,M,E;F,40.757552,-73.969055,Queens,Downtown
F12,5 Av/53 St,M,E;F,40.760167,-73.975224,Queens,Downtown
F14,2 Av,M,F,40.723402,-73.989938,Uptown,Downtown
F15,Delancey St-Essex St,M,F,40.718611,-73.988114,Uptown,Brooklyn
F16,East Broadway,M,F,40.713715,-73.990173,Uptown,Brooklyn
F18,York St,Bk,F,40.701397,-73.986751,Manhattan,Southbound
F20,Bergen St,Bk,F;G,40.686145,-73.990862,Northbound,Southbound
F21,Carroll St,Bk,F;G,40.680303,-73.995048,Northbound,Southbound
F22,Smith-9 Sts,Bk,F;G,40.67358,-73.995959,Northbound,Southbound
F23,4 Av-9 St,Bk,F;G,40.670272,-73.989779,Northbound,Southbound
F24,7 Av,Bk,F;G,40.666271,-73.980305,Northbound,Southbound
F25,15 St-Prospect Park,Bk,F;G,40.660365,-73.979493,Northbound,Southbound
F26,Fort Hamilton Pkwy,Bk,F;G,40.650782,-73.975776,Northbound,Southbound
F27,Church Av,Bk,F;G,40.644041,-73.979678,Northbound,Southbound
F29,Ditmas Av,Bk,F,40.636119,-73.978172,Manhattan,Southbound
F30,18 Av,Bk,F,40.629755,-73.976971,Manhattan,Southbound
F31,Avenue I,Bk,F,40.625322,-73.976127,Manhattan,Southbound
F32,Bay Pkwy,Bk,F,40.620769,-73.975264,Manhattan,Southbound
F33,Avenue N,Bk,F,40.61514,-73.974197,Manhattan,Southbound
F34,Avenue P,Bk,F,40.608944,-73.973022,Manhattan,Southbound
